t,y0,y1,y2,error_norm,h
15.5155155155,0.8049479464,0.0000136448,0.1950384088,0.1967766450,0.1215248376
15.6156156156,0.8043903280,0.0000136093,0.1955960627,0.1932722414,0.1215248376
15.7157157157,0.8038355969,0.0000135743,0.1961508289,0.1898503828,0.1215248376
15.8158158158,0.8032837215,0.0000135394,0.1967027391,0.1950466487,0.1241087778
15.9159159159,0.8027346708,0.0000135048,0.1972518243,0.1915717376,0.1241087778
16.0160160160,0.8021884144,0.0000134704,0.1977981152,0.1915717376,0.1241087778
16.1161161161,0.8016449219,0.0000134363,0.1983416418,0.1965053102,0.1266633167
16.2162162162,0.8011041638,0.0000134027,0.1988824335,0.1929850850,0.1266633167
16.3163163163,0.8005661112,0.0000133693,0.1994205195,0.1976994082,0.1292004835
16.4164164164,0.8000307354,0.0000133360,0.1999559286,0.1941403831,0.1292004835
16.5165165165,0.7994980083,0.0000133029,0.2004886888,0.1941403831,0.1292004835
16.6166166166,0.7989679020,0.0000132703,0.2010188277,0.1906654875,0.1292004835
16.7167167167,0.7984403892,0.0000132380,0.2015463727,0.1956992759,0.1319078437
16.8168168168,0.7979154434,0.0000132059,0.2020713507,0.1921767529,0.1319078437
16.9169169169,0.7973930381,0.0000131738,0.2025937881,0.1921767529,0.1319078437
17.0170170170,0.7968731470,0.0000131422,0.2031137108,0.1969779779,0.1345935981
17.1171171171,0.7963557446,0.0000131109,0.2036311445,0.1934147089,0.1345935981
17.2172172172,0.7958408059,0.0000130797,0.2041461143,0.1899357415,0.1345935981
17.3173173173,0.7953283061,0.0000130486,0.2046586453,0.1899357415,0.1345935981
17.4174174174,0.7948182205,0.0000130180,0.2051687615,0.1950429961,0.1374547306
17.5175175175,0.7943105250,0.0000129877,0.2056764873,0.1915148455,0.1374547306
17.6176176176,0.7938051963,0.0000129574,0.2061818463,0.1963805894,0.1402909992
17.7177177177,0.7933022108,0.0000129272,0.2066848620,0.1963805894,0.1402909992
17.8178178178,0.7928015454,0.0000128976,0.2071855570,0.1928103830,0.1402909992
17.9179179179,0.7923031775,0.0000128681,0.2076839543,0.1974745031,0.1431147350
18.0180180180,0.7918070851,0.0000128386,0.2081800763,0.1974745031,0.1431147350
18.1181181181,0.7913132459,0.0000128095,0.2086739446,0.1938682535,0.1431147350
18.2182182182,0.7908216381,0.0000127808,0.2091655811,0.1903476643,0.1431147350
18.3183183183,0.7903322408,0.0000127520,0.2096550072,0.1903476643,0.1431147350
18.4184184184,0.7898450327,0.0000127234,0.2101422439,0.1953494779,0.1461358293
18.5185185185,0.7893599929,0.0000126953,0.2106273118,0.1917834743,0.1461358293
18.6186186186,0.7888771014,0.0000126672,0.2111102314,0.1965644729,0.1491380590
18.7187187187,0.7883963378,0.0000126392,0.2115910230,0.1965644729,0.1491380590
18.8188188188,0.7879176821,0.0000126117,0.2120697063,0.1929596054,0.1491380590
18.9189189189,0.7874411150,0.0000125842,0.2125463008,0.1975563603,0.1521335075
19.0190190190,0.7869666172,0.0000125567,0.2130208261,0.1975563603,0.1521335075
19.1191191191,0.7864941693,0.0000125298,0.2134933008,0.1939181576,0.1521335075
19.2192192192,0.7860237531,0.0000125029,0.2139637441,0.1903667204,0.1521335075
19.3193193193,0.7855553498,0.0000124761,0.2144321742,0.1903667204,0.1521335075
19.4194194194,0.7850889410,0.0000124497,0.2148986093,0.1953187348,0.1553462612
19.5195195195,0.7846245091,0.0000124232,0.2153630677,0.1953187348,0.1553462612
19.6196196196,0.7841620360,0.0000123970,0.2158255669,0.1917240526,0.1553462612
19.7197197197,0.7837015043,0.0000123712,0.2162861244,0.1964668838,0.1585438134
19.8198198198,0.7832428971,0.0000123452,0.2167447577,0.1964668838,0.1585438134
19.9199199199,0.7827861968,0.0000123197,0.2172014835,0.1928351884,0.1585438134
20.0200200200,0.7823313869,0.0000122943,0.2176563188,0.1974034418,0.1617384009
20.1201201201,0.7818784510,0.0000122688,0.2181092802,0.1974034418,0.1617384009
20.2202202202,0.7814273722,0.0000122438,0.2185603839,0.1937399982,0.1617384009
20.3203203203,0.7809781350,0.0000122188,0.2190096462,0.1937399982,0.1617384009
20.4204204204,0.7805307231,0.0000121940,0.2194570829,0.1901642911,0.1617384009
20.5205205205,0.7800851207,0.0000121695,0.2199027098,0.1950972458,0.1651695608
20.6206206206,0.7796413128,0.0000121448,0.2203465424,0.1950972458,0.1651695608
20.7207207207,0.7791992835,0.0000121206,0.2207885959,0.1914795656,0.1651695608
20.8208208208,0.7787590180,0.0000120965,0.2212288855,0.1962098675,0.1685878264
20.9209209209,0.7783205015,0.0000120724,0.2216674261,0.1962098675,0.1685878264
21.0210210210,0.7778837189,0.0000120487,0.2221042324,0.1925562747,0.1685878264
21.1211211211,0.7774486562,0.0000120248,0.2225393190,0.1925562747,0.1685878264
