t,m,p,error_norm,h
9.3023255814,0.3189678874,2.5987034357,0.1309283707,0.2010352030
9.3623405851,0.3227471992,2.5673280022,0.1331584974,0.2010352030
9.4223555889,0.3266449190,2.5363252363,0.1331584974,0.2010352030
9.4823705926,0.3306625772,2.5056914622,0.1331584974,0.2010352030
9.5423855964,0.3348017124,2.4754230261,0.1347557688,0.2010352030
9.6024006002,0.3390638709,2.4455162970,0.1347557688,0.2010352030
9.6624156039,0.3434506060,2.4159676683,0.1347557688,0.2010352030
9.7224306077,0.3479634757,2.3867735586,0.1347557688,0.2010352030
9.7824456114,0.3526040415,2.3579304119,0.1357358914,0.2010352030
9.8424606152,0.3573738687,2.3294347003,0.1357358914,0.2010352030
9.9024756189,0.3622745230,2.3012829239,0.1357358914,0.2010352030
9.9624906227,0.3673075696,2.2734716115,0.1361186645,0.2010352030
10.0225056264,0.3724745726,2.2459973218,0.1361186645,0.2010352030
10.0825206302,0.3777770928,2.2188566449,0.1361186645,0.2010352030
10.1425356339,0.3832166854,2.1920462028,0.1359112205,0.2010352030
10.2025506377,0.3887948991,2.1655626495,0.1359112205,0.2010352030
10.2625656414,0.3945132750,2.1394026731,0.1359112205,0.2010352030
10.3225806452,0.4003733431,2.1135629962,0.1359112205,0.2010352030
10.3825956489,0.4063766210,2.0880403764,0.1351298755,0.2010352030
10.4426106527,0.4125246132,2.0628316077,0.1351298755,0.2010352030
10.5026256564,0.4188188076,2.0379335210,0.1351298755,0.2010352030
10.5626406602,0.4252606733,2.0133429851,0.1338221676,0.2010352030
10.6226556639,0.4318516598,1.9890569078,0.1338221676,0.2010352030
10.6826706677,0.4385931941,1.9650722366,0.1338221676,0.2010352030
10.7426856714,0.4454866775,1.9413859594,0.1320629720,0.2010352030
10.8027006752,0.4525334843,1.9179951055,0.1320629720,0.2010352030
10.8627156789,0.4597349601,1.8948967473,0.1320629720,0.2010352030
10.9227306827,0.4670924172,1.8720880005,0.1320629720,0.2010352030
10.9827456864,0.4746071332,1.8495660247,0.1299305865,0.2010352030
11.0427606902,0.4822803493,1.8273280255,0.1299305865,0.2010352030
11.1027756939,0.4901132662,1.8053712555,0.1299305865,0.2010352030
11.1627906977,0.4981070414,1.7836930145,0.1274766731,0.2010352030
11.2228057014,0.5062627874,1.7622906511,0.1274766731,0.2010352030
11.2828207052,0.5145815685,1.7411615646,0.1274766731,0.2010352030
11.3428357089,0.5230643969,1.7203032054,0.1247652345,0.2010352030
11.4028507127,0.5317122304,1.6997130768,0.1247652345,0.2010352030
11.4628657164,0.5405259707,1.6793887360,0.1247652345,0.2010352030
11.5228807202,0.5495064576,1.6593277962,0.1247652345,0.2010352030
11.5828957239,0.5586544672,1.6395279275,0.1355831138,0.2053506007
