t,y0,y1,y2,error_norm,h
2.8602860286,-9.6103242091,-8.3911636514,29.8389169286,0.2281756184,0.0059227409
2.8702870287,-9.4817609334,-8.1330081946,29.8320005691,0.2241263244,0.0059227409
2.8802880288,-9.3411909964,-7.8821574165,29.7906176242,0.2143408383,0.0059227409
2.8902890289,-9.1906084831,-7.6417792376,29.7163254999,0.2075566348,0.0059227409
2.9002900290,-9.0321005632,-7.4146497010,29.6111015713,0.1909193693,0.0059227409
2.9102910291,-8.8677996625,-7.2031216359,29.4772578007,0.1712846275,0.0059227409
2.9202920292,-8.6998381675,-7.0091131021,29.3173555112,0.1500014964,0.0059227409
2.9302930293,-8.5303072165,-6.8341135518,29.1341244182,0.1391423182,0.0059227409
2.9402940294,-8.3612207486,-6.6792048292,28.9303891176,0.1329008388,0.0060684231
2.9502950295,-8.1944855534,-6.5450936820,28.7090051835,0.1264615412,0.0062466290
2.9602960296,-8.0318776799,-6.4321523599,28.4728060756,0.1134153585,0.0062466290
2.9702970297,-7.8750252193,-6.3404640001,28.2245612199,0.1058293985,0.0064623554
2.9802980298,-7.7253971479,-6.2698698372,27.9669448797,0.1131574465,0.0067217818
2.9902990299,-7.5842977165,-6.2200157744,27.7025149588,0.1094105251,0.0070741820
3.0003000300,-7.4528656883,-6.1903963034,27.4337005251,0.1070154129,0.0072665936
3.0103010301,-7.3320776473,-6.1803943727,27.1627966666,0.1062088442,0.0074916180
3.0203020302,-7.2227545388,-6.1893161919,26.8919652375,0.1064873737,0.0079559511
3.0303030303,-7.1255706423,-6.2164204560,26.6232401344,0.1103532504,0.0081830557
3.0403040304,-7.0410641868,-6.2609417781,26.3585358085,0.1181545332,0.0083820829
3.0503050305,-6.9696489069,-6.3221083845,26.0996579098,0.1186963050,0.0083820829
3.0603060306,-6.9116259143,-6.3991543306,25.8483151080,0.1478684605,0.0085697723
3.0703070307,-6.8671953577,-6.4913266144,25.6061312999,0.1584166678,0.0085697723
3.0803080308,-6.8364674157,-6.5978876351,25.3746575426,0.1689789223,0.0085697723
3.0903090309,-6.8194722740,-6.7181134782,25.1553831871,0.1788467558,0.0085697723
3.1003100310,-6.8161688062,-6.8512885141,24.9497457728,0.1876707303,0.0085697723
3.1103110311,-6.8264517558,-6.9966967808,24.7591393143,0.1953218466,0.0085697723
3.1203120312,-6.8501572776,-7.1536106050,24.5849206555,0.2077627246,0.0085697723
3.1303130313,-6.8870667534,-7.3212768867,24.4284135894,0.2131216082,0.0085697723
3.1403140314,-6.9369088423,-7.4989014758,24.2909104492,0.2184375424,0.0085697723
3.1503150315,-6.9993597730,-7.6856320559,24.1736708713,0.2241839842,0.0085697723
3.1603160316,-7.0740419261,-7.8805399829,24.0779174283,0.2308621399,0.0085697723
3.1703170317,-7.1605207905,-8.0826015602,24.0048278232,0.2389727009,0.0085697723
